profile_id_dummy,education_institute,degree_name,start_year_degree,end_year_degree
74,Cornell Johnson Graduate School of Management,Master of Business Administration (M.B.A.),2015,2017
74,Delhi College of Engineering,"Bachelor’s Degree, Electronics and communication",2006,2010
75,"Indian Institute of Technology, Madras","BTech, Electronics and Communication",1994,1998
75,"Indian Institute of Management, Calcutta","MBA, Finance, IT, Strategy",1998,2000
76,Maharaja Sayajirao University,"BE, Electronics and Communications",1993,1997
76,University of Illinois Chicago,"Master of Science - MS, Computer Science",1998,2000
76,Stanford University,"Graduate certificate, Data Mining and Applications, Management Science and Engineering",2012,2013
77,Northwestern University,"Bachelor of Arts - BA, Economics, Political Science",1900,1900
77,The Wharton School,"MBA, Marketing, Finance",1900,1900
77,Yale University,"Bachelor of Arts - BA, Economics, Political Science, Ethics",1900,1900
78,Cornell University,"BS, Chemical Engineering",1997,1997
78,William Penn Charter School,,1900,1900
78,Cornell University,"M.Eng, Operations Research and Industrial Engineering",1999,1999
79,The Wharton School,"Master of Business Administration (MBA), Strategy and Marketing",1997,1999
79,Cornell University,"Bachelor of Science (BS), Economics and Marketing",1990,1994
80,Massachusetts Institute of Technology,"Postdoctoral Research Fellow, Organic Chemistry",1999,2000
80,RWTH Aachen University,"PhD, Chemistry",1997,1999
80,University of Cologne,"Diploma, Chemistry",1991,1996
81,"Indian Institute of Technology, Bombay","B. Tech, M. Tech, Mechanical Engineering",1900,1900
82,The Wharton School,Master of Business Administration (MBA),2005,2007
82,"Indian Institute of Technology, Kharagpur",B.Tech,1995,1999
82,The Wharton School,MBA,2005,2007
83,University of Rochester - Simon Business School,"MBA, Competitive and Organizational Strategy, Finance, Pricing",2011,2013
83,United States Military Academy at West Point,"BSc. w/ Honors, Economics",2004,2008
85,University at Buffalo,"Master of Science, Mechanical Engineering",2007,2008
85,Northwestern University,"PhD, Materials Science and Engineering",2009,2014
85,University at Buffalo,"Bachelor of Science, Mechanical Engineering, Physics",2003,2007
86,"University of California, Los Angeles","Master of Business Administration (MBA), Entrepreneurship/Entrepreneurial Studies",2014,2017
86,"University of California, Irvine - The Paul Merage School of Business","Certification in Management for Technical Professionals, Business Administration and Management, General",2012,2012
86,"University of California, Riverside","M.S, Electrical Engineering",2006,2008
87,University of Cambridge,"Bachelors & Masters degrees, Manufacturing Engineering",1994,1998
87,Stanford University Graduate School of Business,MBA,2001,2003
88,Universitat Politècnica de Catalunya,"Master of Science (M.Sc.), Telecommunications Engineering",2009,2012
88,Politecnico di Torino,"Master of Science (M.Sc.), Telecommunications Engineering",2009,2012
88,University of Southern California,"Master’s Degree, Computer Engineering",2011,2012
90,St. Xavier's College,"Bachelor of Arts (B.A.), Economics",1984,1989
90,Indian Institute of Management Ahmedabad,"Master of Business Administration (MBA), Finance, General",1989,1991
91,INSEAD,Master of Business Administration (MBA),2016,2017
91,Birla Vidya Niketan,,2007,2007
91,Delhi College of Engineering,"B.E, Electronics and Communication",2007,2011
92,"Indian Institute of Technology, Bombay","Bachelor of Technology (B.Tech), Mechanical Engineering",2005,2009
92,University of Virginia Darden School of Business,Master of Business Administration (MBA),2013,2015
93,Indian Institute of Management Ahmedabad,"Post Graduate Program in Management, Business Administration and Management, General",2010,2012
93,"Indian Institute of Technology, Delhi","Bachelor of Technology (B.Tech.), Civil Engineering",2006,2010
93,Schulich School of Business - York University,"Master of Business Administration (M.B.A.), Business Administration and Management, General",2011,2011
94,"Indian Institute of Technology, Madras","B. Tech., M. Tech., Mechanical Engineering, Energy Technology",2000,2005
94,Stanford University,"M.S., Decision and Risk Analysis",2005,2007
95,Columbia Business School,Master of Business Administration (MBA),2018,2018
95,Columbia Law School,Doctor of Law (JD),2018,2018
95,Georgetown University,"Bachelor's degree, Government and History",2009,2009
96,Northern Illinois University,"BA, Economics",1900,1900
97,Harvard Business School,"MBA, Business Administration and Management, General",2006,2008
98,"Government Law College, Mumbai","BLS LL.B., Law",2008,2013
98,Central European University,Exchange Programme - CEU Business School,2016,2016
98,Indian Institute of Management Ahmedabad,Post Graduate Programme in Management,2015,2017
99,University of Virginia,"BS, Systems Engineering with High Distinction",1900,1900
99,Northwestern University - McCormick School of Engineering,"Master of Engineering Management (MEM), Design and Operations",1900,1900
99,Northwestern University - Kellogg School of Management,"Master of Business Administration (MBA), Finance, Management & Organizations",1900,1900
100,Panjab University,"Engineer's Degree, Chemical Engineering",2009,2013
100,Duke University - The Fuqua School of Business,"Master of Business Administration (M.B.A.), Concentrations in Strategy",2016,2018
101,University of Virginia,"BA, Economics, Biology",2004,2008
102,The Fletcher School at Tufts University,"MA, International Relations",1900,1900
102,University of Virginia,"BA, Anthropology / Archaeology",1900,1900
104,"Indian Institute of Technology, Kanpur","B.Tech, Biological Sciences and Bioengineering",2006,2010
104,Northwestern University - Kellogg School of Management,"Master of Business Administration (MBA), Marketing",2015,2017
105,Indian Institute of Management Ahmedabad,MBA,1992,1994
105,"Indian Institute of Technology, Madras","B Tech, Computer Science",1988,1992
106,University of Balamand,"Master of Science (MS), Manufacturing Engineering",2009,2011
106,Lebanese University,"Bachelor of Science (BS), Physics",2005,2009
106,Weatherhead School of Management at Case Western Reserve University,Master of Business Administration (M.B.A.),2014,2016
107,CFA Institute,Certified Financial Analyst (CFA),1900,1900
107,University of Brighton,"Bachelor's Degree, European Business with Technology",1900,1900
107,Politecnico di Torino,"First Class degree, Esperto della Produzione Industriale / Production engineering",1900,1900
108,"Indian Institute of Technology, Madras","Engineer’s Degree, Electrical Engineering",2000,2005
108,Indian School of Business,"Post-Graduate Programme in Management, Finance & Strategy",2008,2009
109,Delhi College of Engineering,"Bachelor of Engineering, Electrical Engineering",2007,2011
110,National Aviation University,"MSc, Computer Sciences",2005,2011
110,Northwestern University - Kellogg School of Management,Master of Business Administration - MBA,2016,2018
110,Indian Institute of Management Ahmedabad,"MBA, PGP",2010,2012
110,Netaji Subhas Institute of Technology,"BE, Computers",2005,2009
111,Indian Institute of Management Ahmedabad,Master of Business Administration (M.B.A.),2014,2016
111,HEC Paris,Master of Business Administration (M.B.A.),2015,2015
111,"Indian Institute of Technology, Bombay","Bachelor's Degree, Civil Engineering with Minors in Electrical Engineering",2010,2014
112,University of Connecticut,"Bachelor of Science (B.S.), Computer Science and Engineering",2009,2013
114,National Aviation University,"MSc, Computer Sciences",2005,2011
114,Northwestern University - Kellogg School of Management,Master of Business Administration - MBA,2016,2018
115,Rutgers University,"Mini MBA, Digital Marketing",1900,1900
115,Rutgers University,Masters in Business and Science,1900,1900
115,Punjab Engineering College,Bachelor of Engineering (BE),1900,1900
117,Cornell University,Master of Business Administration - MBA,2014,2016
117,University of St. Thomas,"Bachelor of Arts - BA, Finance",2006,2010
118,EMLYON Business,"M.Sc in Management, Marketing & Finance",2014,2014
